Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
NCU10129	84.4700906146373	1.76967871620549	0.295153926663693	5.9957823912738	2.02508050804756e-09	4.23984207126318e-09
NCU09901	27.9709907509802	-0.833875582595578	0.474340621038022	-1.75796789398042	0.0787529723217391	0.0952938792998457
NCU09903	13.6746760547928	-2.33543596063479	0.702325726429821	-3.32528892613214	0.000883269509859849	0.00128665480243494
NCU11134	331.948929058357	-0.889569349738559	0.13157296358206	-6.76103452806812	1.37009863983843e-11	3.18734088468934e-11
NCU14001	805.898743008977	1.84328853985195	0.107901229743508	17.0831096571711	1.98264918933387e-65	1.84093923100729e-64
NCU09906	5576.50348157812	-1.54464753443044	0.0615583807228302	-25.0924003570739	6.02014729964315e-139	1.35627581663803e-137
NCU09907	8070.282155788	0.702850145084568	0.299257770935445	2.34864459120824	0.0188418820320299	0.0244328009809463
NCU09908	1175.41926522654	-0.303538501227682	0.089410623217199	-3.39488184184017	0.000686582247532999	0.00100820422317839
NCU09909	2396.1385887881	2.68299770460224	0.0798796591986771	33.5879963875294	2.51160690957742e-247	1.18142125015892e-245
NCU09910	21.0306537542105	0.206899324682452	0.531897296949196	0.388983598655539	0.697288279211236	0.723573934342714
NCU09911	2218.71378341487	0.514647576095426	0.083800674069286	6.14132979013889	8.18334829121227e-10	1.75056583510915e-09
NCU09912	726.624952539221	0.395530662169201	0.103447837479893	3.82347927037219	0.000131581659011277	0.000204255772039083
NCU09913	1610.22668687799	1.39557908923652	0.0831414161404845	16.7856064284303	3.11035837489477e-63	2.75935523808022e-62
NCU09914	7783.08704337829	3.34606020984898	0.0616389442170118	54.2848397608585	0	0
NCU08049	1378.04674237954	0.454298020637211	0.0850229904319315	5.34323738002273	9.1301071317447e-08	1.73618052320894e-07
NCU08050	994.8747832306	-0.639770907149394	0.0940168979308037	-6.80485020490959	1.01154432796283e-11	2.36866274389764e-11
NCU08051	13595.0325794941	0.359006539790732	0.0582419547928478	6.16405374901356	7.09058573217487e-10	1.51946193875217e-09
NCU16303	1818.35071332768	0.179469423150666	0.0782219686560516	2.29436085839015	0.0217697795085574	0.0280510358778989
NCU08052	2331.62523898182	-0.391545227571668	0.0762184252451065	-5.13714664548001	2.78941286719693e-07	5.16327860671847e-07
NCU08053	1715.35162372876	1.10041745810516	0.0794604676095129	13.8486154336879	1.29687789957194e-43	7.80222888140225e-43
NCU08054	539.686645596151	1.009613142721	0.11760189645784	8.58500732667136	9.08306396254813e-18	2.68973056324367e-17
NCU08055	1973.06750110404	0.457272042835016	0.0832087531976284	5.49548004581866	3.89649003313853e-08	7.57272444351849e-08
NCU08057	139.114603549478	-1.16372619545287	0.202615534529747	-5.74351911443403	9.27288908585244e-09	1.86964680791292e-08
NCU08058	727.752838147348	0.342438542685897	0.103579389738229	3.30604904654609	0.000946215233954646	0.00137553890607671
NCU08059	1334.19994981803	0.0474279945896662	0.0800167917097891	0.592725521434071	0.553364858629864	0.584425925824114
NCU08060	2060.90116169186	-0.66610422469692	0.0775599366046515	-8.58825127839225	8.83029823671914e-18	2.61669031514547e-17
NCU08062	329.076997540197	0.729518590091509	0.152211618289683	4.79279176115924	1.64476322494856e-06	2.90685754929493e-06
NCU08063	1233.01031454449	0.295598911266662	0.107180117373478	2.75796405630556	0.00581625929023306	0.00789863511797037
NCU08064	2007.70194866818	-0.0346668429440902	0.0803648664353114	-0.431368139857419	0.666200712041807	0.694175303771898
NCU08065	310.996727585457	-0.73298712470665	0.161962073662383	-4.52567140029705	6.02040640048184e-06	1.02324199314126e-05
NCU08066	1595.57662638304	0.917665670791871	0.0784061323675326	11.7040037951403	1.21578705914673e-31	5.50124366456405e-31
NCU10696	3424.10649911156	0.420712832534229	0.0603002738908671	6.97696387408861	3.01627226800227e-12	7.23313918385642e-12
NCU08067	2766.41249006732	0.332752048902889	0.0713116688704607	4.66616549820677	3.06872565394273e-06	5.32779564457589e-06
NCU08068	1860.43302089493	0.0706187055111561	0.0961031162616613	0.734822222818265	0.462447771088375	0.497051521442257
NCU08069	1961.07062590542	0.634319787658867	0.095406618372119	6.6485931320278	2.95907722313022e-11	6.78250605280263e-11
NCU08070	1155.26320305587	-0.254440413640862	0.106524475948922	-2.38856292297429	0.0169144116079196	0.022036870761741
NCU08071	987.047616364573	-0.798828560382141	0.0987413703063499	-8.0901101321942	5.96108073388791e-16	1.66122435425828e-15
NCU15001	77.7893165112435	0.865724310572113	0.288976206876508	2.99583249406439	0.00273696734825432	0.003836145623511
NCU08072	1852.58643016022	-0.054186724368651	0.0743190665206736	-0.729109324234821	0.465934791415043	0.500548092521544
NCU08073	1224.88109714382	-0.793355006221321	0.0898887641922149	-8.82596410520051	1.08520832711819e-18	3.32396010320532e-18
NCU08074	50223.2840922782	-2.48500630616911	0.0615156367698161	-40.3963355767201	0	0
NCU08075	1647.91534515289	-1.3651481173292	0.0900292274670967	-15.1633881100238	6.17974663536566e-52	4.38680024422599e-51
NCU08076	6231.58392920828	-0.162469089671306	0.0570605369086612	-2.84731091702442	0.0044090277470165	0.00605383906049852
NCU08077	1009.17659911572	0.348900572269039	0.086129203087573	4.05089748612082	5.10215584676427e-05	8.13551056139857e-05
NCU08078	1381.35410491528	2.26162255465838	0.114621887822136	19.73115778871	1.16472091672416e-86	1.4728472330983e-85
NCU08079	4754.08452120319	-0.202151054552312	0.0649849738680776	-3.11073533649005	0.00186622122365261	0.00265041803179994
NCU16305	4078.86573587428	0.232479558303732	0.0624131460754211	3.7248492172274	0.000195431999724726	0.000299998807538709
