GO	GENE	CLASS
GO:0006355	NCU09915	BP
GO:0003700	NCU09915	MF
GO:0003700	NCU09915	MF
GO:0006355	NCU09915	BP
GO:0003700	NCU09915	MF
GO:0003677	NCU09915	MF
GO:0003677	NCU09915	MF
GO:0003700	NCU09915	MF
GO:0003700	NCU09915	MF
GO:0006355	NCU09915	BP
GO:0003677	NCU10258	MF
GO:0005634	NCU10258	CC
GO:0006351	NCU10258	BP
GO:0008270	NCU10258	MF
GO:0042025	NCU10258	CC
GO:0008270	NCU10258	MF
GO:0000981	NCU10258	MF
GO:0006355	NCU10258	BP
GO:0005515	NCU10500	MF
GO:0004672	NCU10853	MF
GO:0006468	NCU10853	BP
GO:0005524	NCU10853	MF
GO:0005524	NCU10853	MF
GO:0004672	NCU10853	MF
GO:0006468	NCU10853	BP
GO:0004672	NCU10853	MF
GO:0006468	NCU10853	BP
GO:0005524	NCU10853	MF
GO:0004672	NCU10853	MF
GO:0006468	NCU10853	BP
GO:0005524	NCU10853	MF
GO:0005737	NCU11369	CC
GO:0005515	NCU11369	MF
GO:0005737	NCU11369	CC
GO:0005515	NCU11369	MF
GO:0042025	NCU11372	CC
GO:0006355	NCU11372	BP
GO:0030015	NCU11372	CC
GO:0042025	NCU11372	CC
GO:0006355	NCU11372	BP
GO:0030015	NCU11372	CC
GO:0008270	NCU15829	MF
GO:0006355	NCU15829	BP
GO:0008270	NCU15829	MF
GO:0006355	NCU15829	BP
GO:0043565	NCU15829	MF
GO:0008270	NCU15829	MF
GO:0003700	NCU15829	MF
GO:0016021	NCU16725	CC
GO:0005216	NCU16725	MF
GO:0006811	NCU16725	BP
GO:0042254	NCU16757	BP
GO:0001522	NCU16757	BP
GO:0007064	NCU16767	BP
GO:0031390	NCU16767	CC
GO:0051536	NCU16769	MF
GO:0003824	NCU16769	MF
GO:0051539	NCU16769	MF
GO:0008033	NCU16769	BP
GO:0003824	NCU16769	MF
GO:0010181	NCU16769	MF
GO:0004540	NCU16771	MF
GO:0008033	NCU16771	BP
GO:0016567	NCU16775	BP
GO:0004842	NCU16775	MF
GO:0016567	NCU16775	BP
GO:0004842	NCU16775	MF
GO:0032366	NCU16784	BP
GO:0016570	NCU16790	BP
GO:0016593	NCU16790	CC
GO:0006368	NCU16790	BP
GO:0006508	NCU16791	BP
GO:0016020	NCU16791	CC
GO:0008236	NCU16791	MF
GO:0006465	NCU16791	BP
GO:0042720	NCU16791	CC
GO:0006627	NCU16791	BP
GO:0008236	NCU16791	MF
GO:0042025	NCU16793	CC
GO:0008270	NCU16793	MF
GO:0000981	NCU16793	MF
GO:0006355	NCU16793	BP
GO:0003677	NCU16793	MF
GO:0005634	NCU16793	CC
GO:0006351	NCU16793	BP
GO:0008270	NCU16793	MF
GO:0016021	NCU16805	CC
GO:0016021	NCU16806	CC
GO:0016021	NCU16807	CC
GO:0004672	NCU16821	MF
GO:0003735	NCU16833	MF
GO:0032543	NCU16833	BP
GO:0106073	NCU16845	MF
GO:0006488	NCU16845	BP
GO:0046907	NCU16888	BP
GO:0001188	NCU16890	BP
GO:0001164	NCU16890	MF
GO:0006360	NCU16890	BP
GO:0070860	NCU16890	CC
GO:0001188	NCU16890	BP
GO:0001164	NCU16890	MF
GO:0006360	NCU16890	BP
GO:0070860	NCU16890	CC
GO:0004672	NCU16897	MF
GO:0006468	NCU16897	BP
GO:0005524	NCU16897	MF
GO:0042025	NCU16898	CC
GO:0008270	NCU16898	MF
GO:0000981	NCU16898	MF
GO:0006355	NCU16898	BP
GO:0008270	NCU16906	MF
GO:0003676	NCU16906	MF
GO:0008239	NCU01000	MF
GO:0016787	NCU01000	MF
GO:0016787	NCU01000	MF
GO:0008239	NCU01000	MF
GO:0003723	NCU01045	MF
GO:0004521	NCU01045	MF
GO:0003723	NCU01045	MF
GO:0004540	NCU01045	MF
GO:0003723	NCU01045	MF
GO:0004540	NCU01045	MF
GO:0016491	NCU01057	MF
GO:0055114	NCU01057	BP
GO:0016491	NCU01057	MF
GO:0055114	NCU01057	BP
GO:0003700	NCU01074	MF
GO:0006355	NCU01074	BP
GO:0003700	NCU01074	MF
GO:0006355	NCU01074	BP
GO:0003677	NCU01122	MF
GO:0005634	NCU01122	CC
GO:0006351	NCU01122	BP
GO:0008270	NCU01122	MF
GO:0009055	NCU01142	MF
GO:0008137	NCU01142	MF
GO:0016020	NCU01142	CC
GO:0009055	NCU01142	MF
GO:0008137	NCU01142	MF
GO:0016020	NCU01142	CC
GO:0003677	NCU01145	MF
GO:0000785	NCU01145	CC
GO:0003677	NCU01145	MF
GO:0005634	NCU01145	CC
GO:0006355	NCU01145	BP
GO:0003677	NCU01145	MF
GO:0000785	NCU01145	CC
GO:0003677	NCU01145	MF
GO:0005634	NCU01145	CC
GO:0006355	NCU01145	BP
GO:0008270	NCU01154	MF
GO:0006355	NCU01154	BP
GO:0043565	NCU01154	MF
GO:0008270	NCU01154	MF
GO:0006355	NCU01154	BP
GO:0008270	NCU01154	MF
GO:0006355	NCU01154	BP
GO:0043565	NCU01154	MF
GO:0008270	NCU01154	MF
GO:0006355	NCU01154	BP
GO:0005952	NCU01166	CC
GO:0001932	NCU01166	BP
GO:0008603	NCU01166	MF
GO:0006003	NCU01178	BP
GO:0003824	NCU01178	MF
GO:0005524	NCU01178	MF
GO:0003873	NCU01178	MF
GO:0006000	NCU01178	BP
GO:0005524	NCU01178	MF
GO:0000413	NCU01200	BP
GO:0003755	NCU01200	MF
GO:0003755	NCU01200	MF
GO:0006457	NCU01200	BP
GO:0000413	NCU01200	BP
GO:0003755	NCU01200	MF
GO:0003755	NCU01200	MF
GO:0006457	NCU01200	BP
GO:0005840	NCU01221	CC
GO:0003735	NCU01221	MF
GO:0006412	NCU01221	BP
GO:0005840	NCU01221	CC
GO:0006412	NCU01221	BP
GO:0003735	NCU01221	MF
GO:0015934	NCU01221	CC
GO:0006412	NCU01221	BP
GO:0003735	NCU01221	MF
GO:0015934	NCU01221	CC
GO:0006412	NCU01221	BP
GO:0003735	NCU01221	MF
GO:0005840	NCU01221	CC
GO:0003735	NCU01221	MF
GO:0006412	NCU01221	BP
GO:0005840	NCU01221	CC
GO:0006412	NCU01221	BP
GO:0003735	NCU01221	MF
GO:0009439	NCU01258	BP
GO:0008824	NCU01258	MF
GO:0009439	NCU01258	BP
GO:0003677	NCU01258	MF
GO:0008824	NCU01258	MF
GO:0009439	NCU01258	BP
GO:0003677	NCU01258	MF
GO:0009439	NCU01258	BP
GO:0004749	NCU01270	MF
GO:0009165	NCU01270	BP
GO:0000287	NCU01270	MF
GO:0009116	NCU01270	BP
GO:0004749	NCU01270	MF
GO:0009165	NCU01270	BP
GO:0000287	NCU01270	MF
GO:0009116	NCU01270	BP
GO:0019905	NCU01273	MF
GO:0019905	NCU01273	MF
GO:0000278	NCU01278	BP
GO:0000775	NCU01278	CC
GO:0005634	NCU01278	CC
GO:0000278	NCU01278	BP
GO:0000775	NCU01278	CC
GO:0005634	NCU01278	CC
GO:0003700	NCU01345	MF
GO:0006355	NCU01345	BP
GO:0003700	NCU01345	MF
GO:0006355	NCU01345	BP
GO:0008234	NCU01366	MF
GO:0006508	NCU01366	BP
GO:0008234	NCU01366	MF
GO:0006508	NCU01366	BP
GO:0004298	NCU01368	MF
GO:0005839	NCU01368	CC
GO:0051603	NCU01368	BP
GO:0004298	NCU01368	MF
GO:0005839	NCU01368	CC
GO:0051603	NCU01368	BP
GO:0008962	NCU01371	MF
GO:0006144	NCU01428	BP
GO:0033971	NCU01428	MF
GO:0005515	NCU01440	MF
GO:0003774	NCU01440	MF
GO:0005524	NCU01440	MF
GO:0016459	NCU01440	CC
GO:0003774	NCU01440	MF
GO:0016459	NCU01440	CC
GO:0005524	NCU01440	MF
GO:0003774	NCU01440	MF
GO:0051015	NCU01440	MF
GO:0005524	NCU01440	MF
GO:0009116	NCU01446	BP
GO:0003935	NCU01449	MF
GO:0009231	NCU01449	BP
GO:0005525	NCU01453	MF
GO:0003924	NCU01453	MF
GO:0005525	NCU01453	MF
GO:0005525	NCU01453	MF
GO:0003924	NCU01453	MF
GO:0005525	NCU01453	MF
GO:0032012	NCU01465	BP
GO:0005086	NCU01465	MF
GO:0032012	NCU01465	BP
GO:0005086	NCU01465	MF
GO:0005840	NCU01474	CC
GO:0006412	NCU01474	BP
GO:0003735	NCU01474	MF
GO:0005840	NCU01474	CC
GO:0003735	NCU01474	MF
GO:0006412	NCU01474	BP
GO:0005840	NCU01474	CC
GO:0006412	NCU01474	BP
GO:0003735	NCU01474	MF
GO:0005840	NCU01474	CC
GO:0003735	NCU01474	MF
GO:0006412	NCU01474	BP
GO:0006629	NCU03639	BP
GO:0006629	NCU03639	BP
GO:0005975	NCU03641	BP
GO:0004553	NCU03641	MF
GO:0005975	NCU03641	BP
GO:0004553	NCU03641	MF
GO:0004601	NCU03646	MF
GO:0020037	NCU03646	MF
GO:0006979	NCU03646	BP
GO:0055114	NCU03646	BP
GO:0020037	NCU03646	MF
GO:0004601	NCU03646	MF
GO:0006979	NCU03646	BP
GO:0055114	NCU03646	BP
GO:0020037	NCU03646	MF
GO:0004601	NCU03646	MF
GO:0006979	NCU03646	BP
GO:0055114	NCU03646	BP
GO:0004601	NCU03646	MF
GO:0020037	NCU03646	MF
GO:0006979	NCU03646	BP
GO:0055114	NCU03646	BP
GO:0051287	NCU03651	MF
GO:0055114	NCU03651	BP
GO:0004471	NCU03651	MF
GO:0004470	NCU03651	MF
GO:0004471	NCU03651	MF
GO:0003824	NCU03657	MF
GO:0004573	NCU03657	MF
GO:0009311	NCU03657	BP
GO:0003824	NCU03657	MF
GO:0004573	NCU03657	MF
GO:0009311	NCU03657	BP
GO:0042025	NCU03686	CC
GO:0008270	NCU03686	MF
GO:0000981	NCU03686	MF
GO:0006355	NCU03686	BP
GO:0042025	NCU03686	CC
GO:0008270	NCU03686	MF
GO:0000981	NCU03686	MF
GO:0006355	NCU03686	BP
GO:0003700	NCU03725	MF
GO:0006355	NCU03725	BP
GO:0003677	NCU03725	MF
GO:0003700	NCU03725	MF
GO:0003700	NCU03725	MF
GO:0006355	NCU03725	BP
GO:0003677	NCU03725	MF
GO:0003700	NCU03725	MF
GO:0006000	NCU03742	BP
GO:0004454	NCU03742	MF
GO:0016773	NCU03742	MF
GO:0016773	NCU03742	MF
GO:0006000	NCU03742	BP
GO:0004454	NCU03742	MF
GO:0042254	NCU03764	BP
GO:0005515	NCU03764	MF
GO:0005515	NCU03768	MF
GO:0005515	NCU03768	MF
GO:0046983	NCU03782	MF
GO:0006351	NCU03782	BP
GO:0046983	NCU03782	MF
GO:0006351	NCU03782	BP
GO:0001055	NCU03782	MF
GO:0005665	NCU03782	CC
GO:0006366	NCU03782	BP
GO:0003677	NCU03782	MF
GO:0003899	NCU03782	MF
GO:0006351	NCU03782	BP
GO:0000127	NCU03787	CC
GO:0006384	NCU03787	BP
GO:0000127	NCU03787	CC
GO:0006384	NCU03787	BP
GO:0016787	NCU03804	MF
GO:0033192	NCU03804	MF
GO:0097720	NCU03804	BP
GO:0033192	NCU03804	MF
GO:0097720	NCU03804	BP
GO:0016787	NCU03804	MF
GO:0048208	NCU03819	BP
GO:0030896	NCU03820	CC
GO:0000077	NCU03820	BP
GO:0030896	NCU03820	CC
GO:0005730	NCU03820	CC
GO:0000077	NCU03820	BP
GO:0005509	NCU03833	MF
GO:0002949	NCU03836	BP
GO:0000408	NCU03836	CC
GO:0005515	NCU04095	MF
GO:0004672	NCU04096	MF
GO:0006468	NCU04096	BP
GO:0005524	NCU04096	MF
GO:0004672	NCU04096	MF
GO:0006468	NCU04096	BP
GO:0005524	NCU04096	MF
GO:0005524	NCU04096	MF
GO:0005096	NCU04105	MF
GO:0043547	NCU04105	BP
GO:0005634	NCU04105	CC
GO:0043547	NCU04105	BP
GO:0005096	NCU04105	MF
GO:0005096	NCU04105	MF
GO:0051056	NCU04105	BP
GO:0005096	NCU04105	MF
GO:0051056	NCU04105	BP
GO:0005096	NCU04105	MF
GO:0043547	NCU04105	BP
GO:0005634	NCU04105	CC
GO:0043547	NCU04105	BP
GO:0005096	NCU04105	MF
GO:0008080	NCU04132	MF
GO:0016787	NCU04147	MF
GO:0003676	NCU04164	MF
GO:0003676	NCU04164	MF
GO:0005742	NCU04181	CC
GO:0030150	NCU04181	BP
GO:0003676	NCU04182	MF
GO:0004672	NCU04185	MF
GO:0006468	NCU04185	BP
GO:0005524	NCU04185	MF
GO:0004672	NCU04185	MF
GO:0006468	NCU04185	BP
GO:0005524	NCU04185	MF
GO:0006183	NCU04202	BP
GO:0004550	NCU04202	MF
GO:0006228	NCU04202	BP
GO:0006241	NCU04202	BP
GO:0006165	NCU04202	BP
GO:0005515	NCU04212	MF
GO:0003824	NCU04246	MF
GO:0004190	NCU04269	MF
GO:0006508	NCU04269	BP
GO:0008270	NCU04272	MF
GO:0019856	NCU04323	BP
GO:0004151	NCU04323	MF
GO:0016812	NCU04323	MF
GO:0016787	NCU04323	MF
GO:0019856	NCU04323	BP
GO:0004151	NCU04323	MF
GO:0016812	NCU04323	MF
GO:0016787	NCU04323	MF
GO:0003824	NCU04569	MF
GO:0016787	NCU04569	MF
GO:0004722	NCU04600	MF
GO:0006470	NCU04600	BP
GO:0043169	NCU04600	MF
GO:0003824	NCU04600	MF
GO:0004722	NCU04600	MF
GO:0006470	NCU04600	BP
GO:0043169	NCU04600	MF
GO:0003824	NCU04600	MF
GO:0000398	NCU04606	BP
GO:0005515	NCU04606	MF
GO:0006396	NCU04606	BP
GO:0005515	NCU04606	MF
GO:0000398	NCU04606	BP
GO:0006396	NCU04606	BP
GO:0004672	NCU04612	MF
GO:0006468	NCU04612	BP
GO:0005524	NCU04612	MF
GO:0005524	NCU04612	MF
GO:0004672	NCU04612	MF
GO:0006468	NCU04612	BP
GO:0004672	NCU04612	MF
GO:0006468	NCU04612	BP
GO:0005524	NCU04612	MF
GO:0005524	NCU04612	MF
GO:0004672	NCU04612	MF
GO:0006468	NCU04612	BP
GO:0008270	NCU04617	MF
GO:0003676	NCU04617	MF
GO:0003743	NCU04640	MF
GO:0006413	NCU04640	BP
GO:0003743	NCU04640	MF
GO:0006413	NCU04640	BP
GO:0019239	NCU04642	MF
GO:0005524	NCU04648	MF
GO:0009435	NCU04648	BP
GO:0003952	NCU04648	MF
GO:0006807	NCU04648	BP
GO:0005737	NCU04648	CC
GO:0009435	NCU04648	BP
GO:0003952	NCU04648	MF
GO:0004359	NCU04648	MF
GO:0008017	NCU04650	MF
GO:0006629	NCU04670	BP
GO:0006629	NCU04670	BP
GO:0042910	NCU04672	MF
GO:0015297	NCU04672	MF
GO:0055085	NCU04672	BP
GO:0016020	NCU04672	CC
GO:0004672	NCU06638	MF
GO:0006468	NCU06638	BP
GO:0005524	NCU06638	MF
GO:0004672	NCU06638	MF
GO:0006468	NCU06638	BP
GO:0005524	NCU06638	MF
GO:0004672	NCU06638	MF
GO:0006468	NCU06638	BP
GO:0005524	NCU06638	MF
GO:0005524	NCU06638	MF
GO:0004672	NCU06638	MF
GO:0006468	NCU06638	BP
GO:0005737	NCU06672	CC
GO:0006914	NCU06672	BP
GO:0008641	NCU06672	MF
GO:0008641	NCU06672	MF
GO:0005737	NCU06672	CC
GO:0006914	NCU06672	BP
GO:0003676	NCU06684	MF
GO:0005524	NCU06685	MF
GO:0004672	NCU06685	MF
GO:0006468	NCU06685	BP
GO:0005524	NCU06685	MF
GO:0004672	NCU06685	MF
GO:0006468	NCU06685	BP
GO:0004672	NCU06685	MF
GO:0006468	NCU06685	BP
GO:0005524	NCU06685	MF
GO:0004672	NCU06685	MF
GO:0006468	NCU06685	BP
GO:0005524	NCU06685	MF
GO:0004373	NCU06687	MF
GO:0005978	NCU06687	BP
GO:0004129	NCU06695	MF
GO:0005743	NCU06695	CC
GO:0016757	NCU06698	MF
GO:0016757	NCU06698	MF
GO:0042025	NCU06707	CC
GO:0008270	NCU06707	MF
GO:0000981	NCU06707	MF
GO:0006355	NCU06707	BP
GO:0003924	NCU06729	MF
GO:0031683	NCU06729	MF
GO:0007186	NCU06729	BP
GO:0019001	NCU06729	MF
GO:0007165	NCU06729	BP
GO:0001664	NCU06729	MF
GO:0003924	NCU06729	MF
GO:0005525	NCU06729	MF
GO:0007186	NCU06729	BP
GO:0005834	NCU06729	CC
GO:0003777	NCU06733	MF
GO:0008017	NCU06733	MF
GO:0007018	NCU06733	BP
GO:0005524	NCU06733	MF
GO:0005515	NCU06733	MF
GO:0007018	NCU06733	BP
GO:0003777	NCU06733	MF
GO:0007018	NCU06733	BP
GO:0003777	NCU06733	MF
GO:0005524	NCU06733	MF
GO:0003777	NCU06733	MF
GO:0008017	NCU06733	MF
GO:0007018	NCU06733	BP
GO:0005524	NCU06733	MF
GO:0005515	NCU06733	MF
GO:0007018	NCU06733	BP
GO:0003777	NCU06733	MF
GO:0007018	NCU06733	BP
GO:0003777	NCU06733	MF
GO:0005524	NCU06733	MF
GO:0004672	NCU07172	MF
GO:0006468	NCU07172	BP
GO:0005524	NCU07172	MF
GO:0004672	NCU07172	MF
GO:0006468	NCU07172	BP
GO:0004672	NCU07172	MF
GO:0006468	NCU07172	BP
GO:0005524	NCU07172	MF
GO:0004672	NCU07172	MF
GO:0006468	NCU07172	BP
GO:0022857	NCU07175	MF
GO:0016020	NCU07175	CC
GO:0055085	NCU07175	BP
GO:0005515	NCU07779	MF
GO:0008270	NCU07807	MF
GO:0005975	NCU07807	BP
GO:0016832	NCU07807	MF
GO:0006096	NCU07807	BP
GO:0004332	NCU07807	MF
GO:0003824	NCU07807	MF
GO:0042025	NCU08857	CC
GO:0008270	NCU08857	MF
GO:0000981	NCU08857	MF
GO:0006355	NCU08857	BP
GO:0042025	NCU08857	CC
GO:0008270	NCU08857	MF
GO:0000981	NCU08857	MF
GO:0006355	NCU08857	BP
GO:0009966	NCU08859	BP
GO:0043666	NCU08859	BP
GO:0004864	NCU08859	MF
GO:0006629	NCU08868	BP
GO:0010265	NCU08875	BP
GO:0005634	NCU08919	CC
GO:0006351	NCU08919	BP
GO:0006338	NCU08919	BP
GO:0016887	NCU08919	MF
GO:0006281	NCU08919	BP
GO:0031011	NCU08919	CC
GO:0005524	NCU08919	MF
GO:0003677	NCU08919	MF
GO:0003677	NCU08919	MF
GO:0005524	NCU08919	MF
GO:0005634	NCU08919	CC
GO:0006351	NCU08919	BP
GO:0006338	NCU08919	BP
GO:0016887	NCU08919	MF
GO:0006281	NCU08919	BP
GO:0031011	NCU08919	CC
GO:0016491	NCU08931	MF
GO:0055114	NCU08931	BP
GO:0016209	NCU08931	MF
GO:0016491	NCU08931	MF
GO:0055114	NCU08931	BP
GO:0016209	NCU08931	MF
GO:0008080	NCU08944	MF
GO:0016791	NCU08948	MF
GO:0005515	NCU08955	MF
GO:0071949	NCU09669	MF
GO:0016787	NCU09670	MF
GO:0016810	NCU09670	MF
GO:0006629	NCU10237	BP
GO:0008081	NCU10237	MF
GO:0033014	NCU10292	BP
GO:0004418	NCU10292	MF
GO:0018160	NCU10292	BP
GO:0033014	NCU10292	BP
GO:0004418	NCU10292	MF
GO:0005515	NCU10476	MF
GO:0005515	NCU10476	MF
GO:0046872	NCU11027	MF
GO:0003824	NCU11027	MF
GO:0006508	NCU11027	BP
GO:0004601	NCU11046	MF
GO:0004601	NCU11046	MF
GO:0016491	NCU16942	MF
GO:0004601	NCU16942	MF
GO:0020037	NCU16942	MF
GO:0006979	NCU16942	BP
GO:0055114	NCU16942	BP
GO:0003714	NCU16966	MF
GO:0016491	NCU16968	MF
GO:0055114	NCU16968	BP
GO:0000290	NCU16972	BP
GO:0043085	NCU16972	BP
GO:0008047	NCU16972	MF
GO:0016491	NCU16999	MF
GO:0055114	NCU16999	BP
GO:0008380	NCU17009	BP
GO:0016021	NCU17017	CC
GO:0008236	NCU17017	MF
GO:0006508	NCU17017	BP
GO:0016020	NCU17017	CC
GO:0008236	NCU17017	MF
GO:0008233	NCU17017	MF
GO:0006627	NCU17017	BP
GO:0003676	NCU17030	MF
GO:0003729	NCU17030	MF
GO:0003723	NCU03846	MF
GO:0001522	NCU03846	BP
GO:0009982	NCU03846	MF
GO:0009451	NCU03846	BP
GO:0003723	NCU03846	MF
GO:0001522	NCU03846	BP
GO:0003723	NCU03846	MF
GO:0009982	NCU03846	MF
GO:0009451	NCU03846	BP
GO:0005634	NCU03855	CC
GO:0006355	NCU03855	BP
GO:0042025	NCU03855	CC
GO:0006355	NCU03855	BP
GO:0030015	NCU03855	CC
GO:0030015	NCU03855	CC
GO:0006355	NCU03855	BP
GO:0055114	NCU03857	BP
GO:0006102	NCU03857	BP
GO:0004450	NCU03857	MF
GO:0051287	NCU03857	MF
GO:0016616	NCU03857	MF
GO:0055114	NCU03857	BP
GO:0000287	NCU03857	MF
GO:0016616	NCU03857	MF
GO:0055114	NCU03857	BP
GO:0016788	NCU03862	MF
GO:0004488	NCU03877	MF
GO:0005524	NCU03877	MF
GO:0055114	NCU03877	BP
GO:0004488	NCU03877	MF
GO:0055114	NCU03877	BP
GO:0003824	NCU03877	MF
GO:0004329	NCU03877	MF
GO:0005524	NCU03877	MF
GO:0005524	NCU03877	MF
GO:0055114	NCU03877	BP
GO:0004488	NCU03877	MF
GO:0004329	NCU03877	MF
GO:0005524	NCU03877	MF
GO:0055114	NCU03877	BP
GO:0003824	NCU03877	MF
GO:0004488	NCU03877	MF
GO:0004674	NCU03894	MF
GO:0004672	NCU03894	MF
GO:0006468	NCU03894	BP
GO:0004672	NCU03894	MF
GO:0006468	NCU03894	BP
GO:0005524	NCU03894	MF
GO:0005524	NCU03894	MF
GO:0004672	NCU03894	MF
GO:0006468	NCU03894	BP
GO:0005524	NCU03894	MF
GO:0005524	NCU03894	MF
GO:0004672	NCU03894	MF
GO:0006468	NCU03894	BP
GO:0004674	NCU03894	MF
GO:0003723	NCU03897	MF
GO:0003676	NCU03897	MF
GO:0003676	NCU03946	MF
GO:0031122	NCU03954	BP
GO:0007020	NCU03954	BP
GO:0000930	NCU03954	CC
GO:0003924	NCU03954	MF
GO:0005874	NCU03954	CC
GO:0007017	NCU03954	BP
GO:0005874	NCU03954	CC
GO:0007017	NCU03954	BP
GO:0005525	NCU03954	MF
GO:0005515	NCU03965	MF
GO:0005515	NCU03965	MF
GO:0003924	NCU03981	MF
GO:0005525	NCU03981	MF
GO:0005525	NCU03981	MF
GO:0003924	NCU03981	MF
GO:0005525	NCU03981	MF
GO:0005525	NCU03981	MF
GO:0003676	NCU03990	MF
GO:0004672	NCU04005	MF
GO:0006468	NCU04005	BP
GO:0005524	NCU04005	MF
GO:0004672	NCU04005	MF
GO:0006468	NCU04005	BP
GO:0005524	NCU04005	MF
GO:0016491	NCU04013	MF
GO:0055114	NCU04013	BP
GO:0016491	NCU04013	MF
GO:0016620	NCU04013	MF
GO:0055114	NCU04013	BP
GO:0055114	NCU04013	BP
GO:0006081	NCU04013	BP
GO:0016491	NCU04013	MF
GO:0016620	NCU04013	MF
GO:0055114	NCU04013	BP
GO:0016491	NCU04013	MF
GO:0055114	NCU04013	BP
GO:0055114	NCU04013	BP
GO:0006081	NCU04013	BP
GO:0003700	NCU04729	MF
GO:0006355	NCU04729	BP
GO:0003677	NCU04729	MF
GO:0003700	NCU04729	MF
GO:0003677	NCU04729	MF
GO:0003700	NCU04729	MF
GO:0003700	NCU04729	MF
GO:0006355	NCU04729	BP
GO:0003676	NCU04730	MF
GO:0005515	NCU04730	MF
GO:0003676	NCU04730	MF
GO:0005515	NCU04730	MF
GO:0033567	NCU04749	BP
GO:0017108	NCU04749	MF
GO:0017116	NCU04749	MF
GO:0033567	NCU04749	BP
GO:0017108	NCU04749	MF
GO:0017116	NCU04749	MF
GO:0016491	NCU04771	MF
GO:0055114	NCU04771	BP
GO:0003924	NCU04790	MF
GO:0005525	NCU04790	MF
GO:0005525	NCU04790	MF
GO:0005525	NCU04790	MF
GO:0000288	NCU04790	BP
GO:0003747	NCU04790	MF
GO:0006415	NCU04790	BP
GO:0003924	NCU04790	MF
GO:0005525	NCU04790	MF
GO:0005525	NCU04790	MF
GO:0000288	NCU04790	BP
GO:0003747	NCU04790	MF
GO:0006415	NCU04790	BP
GO:0005525	NCU04790	MF
GO:0016491	NCU04791	MF
GO:0016491	NCU04791	MF
GO:0016491	NCU04791	MF
GO:0005779	NCU04802	CC
GO:0016559	NCU04802	BP
GO:0055114	NCU04823	BP
GO:0016491	NCU04823	MF
GO:0016491	NCU04823	MF
GO:0008270	NCU04823	MF
GO:0055114	NCU04823	BP
GO:0016491	NCU04823	MF
GO:0008270	NCU04823	MF
GO:0055114	NCU04823	BP
GO:0055114	NCU04823	BP
GO:0016491	NCU04823	MF
GO:0020037	NCU05001	MF
GO:0055114	NCU05001	BP
GO:0005506	NCU05001	MF
GO:0016705	NCU05001	MF
GO:0020037	NCU05001	MF
GO:0004497	NCU05001	MF
GO:0055114	NCU05001	BP
GO:0005506	NCU05001	MF
GO:0016705	NCU05001	MF
GO:0055114	NCU05001	BP
GO:0016705	NCU05001	MF
GO:0016020	NCU05009	CC
GO:0016651	NCU05009	MF
GO:0055114	NCU05009	BP
GO:0051539	NCU05009	MF
GO:0016787	NCU05014	MF
GO:0005840	NCU05032	CC
GO:0003735	NCU05032	MF
GO:0006412	NCU05032	BP
GO:0006412	NCU05032	BP
GO:0016491	NCU05094	MF
GO:0016491	NCU05094	MF
GO:0016491	NCU05500	MF
GO:0055114	NCU05500	BP
GO:0046912	NCU05526	MF
GO:0019752	NCU05526	BP
GO:0046912	NCU05526	MF
GO:0019752	NCU05526	BP
GO:0019878	NCU05526	BP
GO:0004410	NCU05526	MF
GO:0003824	NCU05526	MF
GO:0046912	NCU05526	MF
GO:0019752	NCU05526	BP
GO:0003824	NCU05526	MF
GO:0004112	NCU05539	MF
GO:0006486	NCU05544	BP
GO:0046872	NCU05561	MF
GO:0016021	NCU05564	CC
GO:0016021	NCU05564	CC
GO:0008080	NCU05574	MF
GO:0008080	NCU05574	MF
GO:0016491	NCU05586	MF
GO:0055114	NCU05586	BP
GO:0016491	NCU05586	MF
GO:0055114	NCU05586	BP
GO:0006338	NCU05587	BP
GO:0005634	NCU05587	CC
GO:0019867	NCU05593	CC
GO:0019867	NCU05593	CC
GO:0019867	NCU05593	CC
GO:0016504	NCU05620	MF
GO:0070628	NCU05620	MF
GO:0070577	NCU05620	MF
GO:0006644	NCU05941	BP
GO:0008195	NCU05941	MF
GO:0006644	NCU05941	BP
GO:0008195	NCU05941	MF
GO:0070403	NCU05973	MF
GO:0008121	NCU05989	MF
GO:0006122	NCU05989	BP
GO:0008121	NCU05989	MF
GO:0006122	NCU05989	BP
GO:0022857	NCU05990	MF
GO:0055085	NCU05990	BP
GO:0003677	NCU05994	MF
GO:0005634	NCU05994	CC
GO:0006351	NCU05994	BP
GO:0008270	NCU05994	MF
GO:0003677	NCU05994	MF
GO:0005634	NCU05994	CC
GO:0006351	NCU05994	BP
GO:0008270	NCU05994	MF
GO:0016787	NCU06010	MF
GO:0016021	NCU07075	CC
GO:0006812	NCU07075	BP
GO:0055085	NCU07075	BP
GO:0008324	NCU07075	MF
GO:0006816	NCU07075	BP
GO:0015369	NCU07075	MF
GO:0016021	NCU07075	CC
GO:0055085	NCU07075	BP
GO:0004842	NCU09866	MF
GO:0004842	NCU09866	MF
GO:0004842	NCU09866	MF
GO:0004842	NCU09866	MF
GO:0000145	NCU09869	CC
GO:0006887	NCU09869	BP
GO:0000145	NCU09869	CC
GO:0006887	NCU09869	BP
GO:0042545	NCU10045	BP
GO:0030599	NCU10045	MF
GO:0005347	NCU10732	MF
GO:0055085	NCU10732	BP
GO:0019205	NCU12069	MF
GO:0006139	NCU12069	BP
GO:0005524	NCU12069	MF
GO:0016765	NCU12075	MF
