GO	GENE	CLASS
GO:0004842	NCU11300	MF
GO:0005680	NCU11300	CC
GO:0022857	NCU10910	MF
GO:0055085	NCU10910	BP
GO:0022857	NCU10910	MF
GO:0016021	NCU10910	CC
GO:0022857	NCU10910	MF
GO:0055085	NCU10910	BP
GO:0016491	NCU10865	MF
GO:0004181	NCU11129	MF
GO:0016787	NCU11129	MF
GO:0016491	NCU11286	MF
GO:0004601	NCU11286	MF
GO:0020037	NCU11286	MF
GO:0006979	NCU11286	BP
GO:0055114	NCU11286	BP
GO:0016020	NCU10276	CC
GO:0055085	NCU10276	BP
GO:0016491	NCU11289	MF
GO:0055114	NCU11289	BP
GO:0003723	NCU10519	MF
GO:0003676	NCU10519	MF
GO:0006397	NCU10519	BP
GO:0005515	NCU10905	MF
GO:0000289	NCU10733	BP
GO:0004535	NCU10733	MF
GO:0031251	NCU10733	CC
GO:0006397	NCU10733	BP
GO:0005515	NCU10733	MF
GO:0003676	NCU10733	MF
GO:0005515	NCU10360	MF
GO:0046514	NCU10359	BP
GO:0017040	NCU10359	MF
GO:0016491	NCU11278	MF
GO:0003824	NCU11278	MF
GO:0016491	NCU11278	MF
GO:0055114	NCU11278	BP
GO:0010181	NCU11278	MF
GO:0005515	NCU11138	MF
GO:0006526	NCU10468	BP
GO:0004358	NCU10468	MF
GO:0005524	NCU10467	MF
GO:0006260	NCU10467	BP
GO:0003677	NCU10467	MF
GO:0030942	NCU10927	MF
GO:0005786	NCU10927	CC
GO:0005047	NCU10927	MF
GO:0008312	NCU10927	MF
GO:0006614	NCU10927	BP
GO:0003723	NCU10927	MF
GO:0005515	NCU10273	MF
GO:0016746	NCU11282	MF
GO:0044255	NCU11282	BP
GO:0008374	NCU11282	MF
GO:0005515	NCU11283	MF
GO:0022857	NCU10314	MF
GO:0055085	NCU10314	BP
GO:0022857	NCU10314	MF
GO:0090730	NCU11261	CC
GO:0004519	NCU11261	MF
GO:0006364	NCU11261	BP
GO:0004518	NCU10776	MF
GO:0003677	NCU10776	MF
GO:0003824	NCU10776	MF
GO:0016788	NCU10776	MF
GO:0017056	NCU10747	MF
GO:0006120	NCU11258	BP
GO:0006629	NCU10506	BP
GO:0006396	NCU10810	BP
GO:0005515	NCU10810	MF
GO:0006487	NCU11248	BP
GO:0016021	NCU11248	CC
GO:0008250	NCU11248	CC
GO:0016603	NCU11249	MF
GO:0016538	NCU11252	MF
GO:0042025	NCU11252	CC
GO:0006357	NCU11252	BP
GO:0030008	NCU11085	CC
GO:0016192	NCU11085	BP
GO:0022857	NCU10987	MF
GO:0055085	NCU10987	BP
GO:0005085	NCU10282	MF
GO:0005737	NCU10282	CC
GO:0005515	NCU10282	MF
GO:0020037	NCU10282	MF
GO:0022857	NCU10239	MF
GO:0055085	NCU10239	BP
GO:0019887	NCU02754	MF
GO:0005956	NCU02754	CC
GO:0005956	NCU02754	CC
GO:0019887	NCU02754	MF
GO:0005515	NCU11228	MF
GO:0006886	NCU11228	BP
GO:0034066	NCU11228	CC
GO:0004576	NCU10497	MF
GO:0006486	NCU10497	BP
GO:0016020	NCU10497	CC
GO:0005840	NCU10498	CC
GO:0003735	NCU10498	MF
GO:0006412	NCU10498	BP
GO:0003725	NCU11234	MF
GO:0000398	NCU11222	BP
GO:0055085	NCU10381	BP
GO:0008270	NCU11215	MF
GO:0046872	NCU11216	MF
GO:0030001	NCU11216	BP
GO:0042025	NCU10697	CC
GO:0008270	NCU10697	MF
GO:0000981	NCU10697	MF
GO:0006355	NCU10697	BP
GO:0005515	NCU10911	MF
GO:0006284	NCU11219	BP
GO:0006281	NCU11219	BP
GO:0003824	NCU11219	MF
GO:0006281	NCU11220	BP
GO:0003824	NCU11220	MF
GO:0016787	NCU11220	MF
GO:0006284	NCU11220	BP
GO:0003677	NCU11220	MF
GO:0042025	NCU10597	CC
GO:0008270	NCU10597	MF
GO:0000981	NCU10597	MF
GO:0006355	NCU10597	BP
GO:0016787	NCU11186	MF
GO:0005525	NCU11187	MF
GO:0006614	NCU11187	BP
GO:0006614	NCU11187	BP
GO:0005525	NCU11187	MF
GO:0006886	NCU11187	BP
GO:0003924	NCU11187	MF
GO:0005525	NCU11187	MF
GO:0005047	NCU11187	MF
GO:0005785	NCU11187	CC
GO:0005515	NCU11188	MF
GO:0004674	NCU11188	MF
GO:0016301	NCU11188	MF
GO:0006298	NCU10895	BP
GO:0030983	NCU10895	MF
GO:0005524	NCU10895	MF
GO:0055114	NCU11195	BP
GO:0051287	NCU11195	MF
GO:0051287	NCU11195	MF
GO:0016616	NCU11195	MF
GO:0055114	NCU11195	BP
GO:0016491	NCU11196	MF
GO:0005515	NCU10847	MF
GO:0008080	NCU10847	MF
GO:0004402	NCU10847	MF
GO:0006351	NCU11197	BP
GO:0003899	NCU11012	MF
GO:0003677	NCU11012	MF
GO:0006351	NCU11012	BP
GO:0003677	NCU11012	MF
GO:0003899	NCU11012	MF
GO:0006351	NCU11012	BP
GO:0005634	NCU11012	CC
GO:0006351	NCU11012	BP
GO:0005665	NCU11012	CC
GO:0003899	NCU11012	MF
GO:0055085	NCU10763	BP
GO:0004417	NCU11173	MF
GO:0009228	NCU11173	BP
GO:0004789	NCU11173	MF
GO:0009228	NCU11173	BP
GO:0003824	NCU11173	MF
GO:0006888	NCU11174	BP
GO:0003676	NCU11175	MF
GO:0005524	NCU11175	MF
GO:0020037	NCU11030	MF
GO:0055114	NCU11030	BP
GO:0005506	NCU11030	MF
GO:0016705	NCU11030	MF
GO:0006629	NCU11180	BP
GO:0006629	NCU11180	BP
GO:0004806	NCU11180	MF
GO:0005525	NCU11181	MF
GO:0006886	NCU11181	BP
GO:0005525	NCU11181	MF
GO:0003824	NCU11146	MF
GO:0030170	NCU11146	MF
GO:0009058	NCU11146	BP
GO:0005524	NCU11409	MF
GO:0003677	NCU11409	MF
GO:0003678	NCU11409	MF
GO:0005524	NCU11409	MF
GO:0003676	NCU11409	MF
GO:0006139	NCU11409	BP
GO:0004386	NCU11409	MF
GO:0016818	NCU11409	MF
